x1,x2,label_or_ypred
1.06,0.91,2.20
1.50,1.36,2.20
0.97,1.40,2.20
1.97,0.61,1.20
1.99,0.47,1.20
1.43,0.29,1.20
0.29,1.50,1.20
0.97,1.02,2.20
1.53,2.18,1.20
2.17,1.17,1.20
0.56,1.93,1.20
0.40,0.61,1.20
1.01,1.23,2.20
0.63,0.37,1.20
1.33,1.01,2.20
2.14,1.71,1.20
0.91,1.20,2.20
0.89,1.11,2.20
1.20,2.19,1.20
0.51,0.51,1.20
1.41,1.36,2.20
1.25,0.89,2.20
0.24,1.02,1.20
1.70,0.34,1.20
0.93,1.52,2.20
0.85,2.19,1.20
1.48,0.23,1.20
1.47,1.00,2.20
1.60,2.10,1.20
0.89,1.28,2.20
1.43,2.22,1.20
2.11,0.83,1.20
1.16,0.86,2.20
0.28,0.91,1.20
1.47,0.89,2.20
1.98,1.79,1.20
1.02,1.44,2.20
1.10,1.54,2.20
0.89,0.26,1.20
0.79,2.13,1.20
2.19,1.03,1.20
0.81,0.31,1.20
1.79,1.94,1.20
1.48,1.05,2.20
0.20,0.94,1.20
0.47,1.91,1.20
1.03,1.00,2.20
0.25,1.23,1.20
1.23,1.44,2.20
1.10,2.23,1.20
0.14,1.33,1.20
2.17,1.57,1.20
0.64,2.01,1.20
1.30,0.22,1.20
1.72,2.09,1.20
0.96,1.16,2.20
1.95,1.88,1.20
1.14,1.42,2.20
1.02,0.22,1.20
1.20,0.90,2.20
1.47,1.38,2.20
1.46,1.21,2.20
1.49,1.47,2.20
1.78,0.46,1.20
1.51,1.20,2.20
1.08,1.45,2.20
2.00,0.68,1.20
1.06,1.48,2.20
1.24,1.51,2.20
1.59,1.09,2.20
0.94,1.06,2.20
1.65,0.28,1.20
1.38,1.38,2.20
2.18,0.95,1.20
1.48,1.11,2.20
1.37,1.40,2.20
0.81,1.19,2.20
0.61,0.42,1.20
1.44,0.95,2.20
1.28,1.44,2.20
1.14,1.45,2.20
1.09,1.00,2.20
1.11,0.13,1.20
0.35,0.66,1.20
2.14,1.35,1.20
1.48,1.25,2.20
0.33,1.67,1.20
2.24,1.42,1.20
0.19,1.43,1.20
1.16,0.92,2.20
1.25,0.95,2.20
0.88,1.27,2.20
1.14,0.93,2.20
0.99,0.99,2.20
0.46,1.76,1.20
1.29,1.47,2.20
1.00,1.33,2.20
0.98,2.16,1.20
1.36,0.91,2.20
1.48,1.24,2.20
