x1,x2,label_or_ypred
-6.10,-6.44,3.20
7.06,1.33,2.20
-1.78,10.76,1.20
7.94,1.07,2.20
-5.50,-5.40,3.20
4.35,2.32,2.20
-0.98,11.19,1.20
5.51,3.71,2.20
5.99,4.63,2.20
-2.46,10.59,1.20
-1.85,10.33,1.20
-5.57,-5.03,3.20
-5.42,-5.53,3.20
-2.42,9.02,1.20
-0.57,10.39,1.20
-6.22,-5.44,3.20
-5.54,-5.27,3.20
-1.38,11.22,1.20
-6.12,-5.60,3.20
-5.44,-5.72,3.20
-1.77,9.75,1.20
-5.72,-5.51,3.20
-5.90,-5.25,3.20
-0.95,11.75,1.20
-1.35,11.78,1.20
-1.77,11.27,1.20
3.72,2.54,2.20
-5.37,-6.11,3.20
-6.17,-5.29,3.20
-6.30,-6.34,3.20
-6.02,-5.56,3.20
6.28,3.56,2.20
5.55,3.63,2.20
-5.10,-6.09,3.20
0.27,10.98,1.20
-1.91,9.92,1.20
-1.24,8.79,1.20
-0.99,9.83,1.20
7.21,3.67,2.20
5.98,0.19,2.20
-6.37,-6.15,3.20
-1.79,10.03,1.20
5.79,1.42,2.20
-2.64,10.41,1.20
-1.42,9.91,1.20
4.25,3.88,2.20
-6.48,-5.59,3.20
-5.59,-5.49,3.20
-5.67,-4.95,3.20
4.63,2.42,2.20
1.91,4.41,2.20
5.85,2.82,2.20
-0.50,11.57,1.20
-5.55,-5.29,3.20
-5.27,-4.73,3.20
-5.79,-5.32,3.20
-2.32,10.53,1.20
-1.07,8.30,1.20
8.06,2.40,2.20
-3.03,9.65,1.20
-5.53,-6.04,3.20
4.79,2.68,2.20
-5.80,-6.06,3.20
2.96,3.13,2.20
-5.81,-4.32,3.20
-5.57,-6.30,3.20
5.93,6.87,2.20
-6.12,-6.09,3.20
5.05,3.94,2.20
6.23,3.06,2.20
5.33,1.97,2.20
-5.55,-5.51,3.20
-6.28,-5.35,3.20
-0.97,8.45,1.20
5.99,2.42,2.20
-5.20,-5.47,3.20
7.03,1.81,2.20
-5.65,-6.25,3.20
8.67,3.44,2.20
3.51,3.28,2.20
-0.95,9.57,1.20
4.66,2.69,2.20
-0.49,8.99,1.20
-4.75,-5.44,3.20
-1.32,9.16,1.20
-1.10,8.25,1.20
0.16,9.99,1.20
4.46,5.50,2.20
-2.79,9.49,1.20
5.25,0.98,2.20
5.97,2.72,2.20
7.55,4.30,2.20
-2.22,8.80,1.20
6.72,6.46,2.20
-1.91,12.07,1.20
-1.99,10.83,1.20
-0.28,11.15,1.20
5.60,3.78,2.20
-5.14,-5.15,3.20
-2.15,9.91,1.20
