MOS_transistor_count,year
3078 ,1971
2250 ,1971
3500 ,1972
2500 ,1973
8000 ,1974
4100 ,1974
6000 ,1974
3000 ,1974
4528 ,1975
4000 ,1975
5000 ,1975
8500 ,1976
8000 ,1976
5000 ,1976
6500 ,1976
7000 ,1977
9000 ,1978
29000 ,1978
17500 ,1979
68000 ,1979
29000 ,1979
50000 ,1980
11500 ,1981
45000 ,1981
134000 ,1982
55000 ,1982
22000 ,1983
63000 ,1984
190000 ,1984
16000 ,1985
275000 ,1985
25000 ,1985
91000 ,1986
110000 ,1986
375000 ,1986
27000 ,1986
553000 ,1987
385000 ,1987
273000 ,1987
730000 ,1987
250000 ,1988
180000 ,1988
600000 ,1989
1000000 ,1989
1180235 ,1989
310000 ,1989
1200000 ,1990
1350000 ,1991
35000 ,1991
900000 ,1992
600000 ,1992
1680000 ,1992
3100000 ,1993
2800000 ,1993
2800000 ,1994
7000 ,1994
2500000 ,1994
578977 ,1994
2500000 ,1995
5500000 ,1995
4300000 ,1996
7500000 ,1997
10000000 ,1997
15000 ,1997
8800000 ,1997
7500000 ,1998
9500000 ,1999
27400000 ,1999
13500000 ,1999
111000 ,1999
22000000 ,1999
21300000 ,1999
21000000 ,2000
42000000 ,2000
21000000 ,2000
191000000 ,2001
45000000 ,2001
55000000 ,2002
220000000 ,2002
410000000 ,2003
152000000 ,2003
54300000 ,2003
105900000 ,2003
400000000 ,2004
112000000 ,2004
592000000 ,2004
165000000 ,2005
228000000 ,2005
169000000 ,2005
250000000 ,2005
362000000 ,2006
184000000 ,2006
1700000000 ,2006
291000000 ,2006
250000000 ,2007
540000000 ,2007
789000000 ,2007
411000000 ,2007
169000000 ,2007
26000000 ,2007
463000000 ,2007
600000000 ,2008
1900000000 ,2008
731000000 ,2008
230000000 ,2008
47000000 ,2008
758000000 ,2008
760000000 ,2009
904000000 ,2009
2300000000 ,2010
1000000000 ,2010
1170000000 ,2010
1400000000 ,2010
2000000000 ,2010
1200000000 ,2010
2600000000 ,2011
1870000000 ,2011
2270000000 ,2011
1160000000 ,2011
5000000000 ,2012
2990000000 ,2012
2750000000 ,2012
1400000000 ,2012
1303000000 ,2012
2100000000 ,2012
3100000000 ,2012
432000000 ,2012
1200000000 ,2012
5000000000 ,2013
1860000000 ,2013
4200000000 ,2013
1000000000 ,2013
4310000000 ,2014
5560000000 ,2014
1400000000 ,2014
2600000000 ,2014
3000000000 ,2014
2000000000 ,2014
10000000000 ,2015
1750000000 ,2015
7100000000 ,2015
3990000000 ,2015
1900000000 ,2015
8000000000 ,2016
7200000000 ,2016
3000000000 ,2016
4000000000 ,2016
3200000000 ,2016
3300000000 ,2016
4800000000 ,2017
8000000000 ,2017
7000000000 ,2017
5450000000 ,2017
4800000000 ,2017
4800000000 ,2017
5300000000 ,2017
5300000000 ,2017
8000000000 ,2017
9700000000 ,2017
6100000000 ,2017
5500000000 ,2017
250000000 ,2017
18000000000 ,2017
4300000000 ,2017
4300000000 ,2017
19200000000 ,2017
9000000000 ,2018
8500000000 ,2018
6900000000 ,2018
5500000000 ,2018
8786000000 ,2018
10000000000 ,2018
6900000000 ,2018
6700000000 ,2019
10300000000 ,2019
8000000000 ,2019
30000000000 ,2019
8500000000 ,2019
9890000000 ,2019
5990000000 ,2019
39540000000 ,2019
3500000000 ,2020
10300000000 ,2020
15300000000 ,2020
16000000000 ,2020
11800000000 ,2020
33700000000 ,2021
57000000000 ,2021
15000000000 ,2021
10700000000 ,2021
114000000000 ,2022
