x,y
1.000000000000000056e-01,9.636165130963448178e+00
1.152631578947368451e+00,1.680887677837111838e+01
2.205263157894736814e+00,1.863104428603421070e+01
3.257894736842105399e+00,2.216903842810073755e+01
4.310526315789473095e+00,1.918914207607375033e+01
5.363157894736841236e+00,1.992364491292762096e+01
6.415789473684210265e+00,2.281878276036212938e+01
7.468421052631578405e+00,1.817207262101620913e+01
8.521052631578946546e+00,1.631368514413375692e+01
9.573684210526314686e+00,1.317091314106235700e+01
1.062631578947368283e+01,9.914142509124797442e+00
1.167894736842105097e+01,8.879697590078993841e+00
1.273157894736842088e+01,4.131017561548308237e+00
1.378421052631578902e+01,4.149202294763088439e+00
1.483684210526315717e+01,-4.152054669985463242e-01
1.588947368421052531e+01,2.080402919629245062e-01
1.694210526315789522e+01,3.976693173986903140e+00
1.799473684210526514e+01,6.409087257220806855e+00
1.904736842105263150e+01,1.144690639744021254e+01
2.010000000000000142e+01,1.286027897093137362e+01
