x,y
1.000000000000000056e-01,1.122534669273579588e+01
1.152631578947368451e+00,1.620899372524952753e+01
2.205263157894736814e+00,1.720785355147402740e+01
3.257894736842105399e+00,2.093353770163193772e+01
4.310526315789473095e+00,1.976517579264051960e+01
5.363157894736841236e+00,2.126932775774689688e+01
6.415789473684210265e+00,2.251817134614910287e+01
7.468421052631578405e+00,2.138179239858077807e+01
8.521052631578946546e+00,1.910238636366828402e+01
9.573684210526314686e+00,1.336277315893134343e+01
1.062631578947368283e+01,7.320483144118309582e+00
1.167894736842105097e+01,9.343989764262826014e+00
1.273157894736842088e+01,2.373673596949865683e+00
1.378421052631578902e+01,1.859442707849426446e+00
1.483684210526315717e+01,3.782257800370185663e+00
1.588947368421052531e+01,4.500042179397938824e+00
1.694210526315789522e+01,6.450599955303466082e+00
1.799473684210526514e+01,3.733933539678596869e+00
1.904736842105263150e+01,8.844948734484477271e+00
2.010000000000000142e+01,1.246589819158073986e+01
