x,y
0.500,3.430
0.551,0.248
0.601,-3.967
0.652,-5.680
0.702,-5.863
0.753,-6.579
0.803,-5.431
0.854,-5.507
0.904,-2.336
0.955,1.424
1.005,2.906
1.056,6.305
1.106,9.333
1.157,12.501
1.207,13.858
1.258,13.649
1.308,14.109
1.359,11.347
1.409,9.639
1.460,7.612
1.510,3.014
1.561,1.110
1.611,-1.868
1.662,-3.419
1.712,-5.600
1.763,-5.527
1.813,-4.038
1.864,-3.353
1.914,-0.148
1.965,2.125
2.015,5.142
2.066,8.625
2.116,12.006
2.167,13.681
2.217,15.706
2.268,15.346
2.318,14.517
2.369,12.475
2.419,11.014
2.470,7.947
2.520,5.281
2.571,0.906
2.621,-0.073
2.672,-1.857
2.722,-2.773
2.773,-3.412
2.823,-2.187
2.874,-0.113
2.924,2.531
2.975,5.160
3.025,8.150
3.076,11.944
3.126,13.425
3.177,16.771
3.227,17.794
3.278,16.411
3.328,15.324
3.379,14.309
3.429,11.040
3.480,9.650
3.530,4.741
3.581,3.466
3.631,0.512
3.682,-1.848
3.732,-1.112
3.783,-1.145
3.833,-1.563
3.884,0.960
3.934,4.184
3.985,7.382
4.035,10.410
4.086,12.930
4.136,16.615
4.187,17.507
4.237,19.535
4.288,17.630
4.338,17.208
4.389,14.523
4.439,12.320
4.490,9.081
4.540,6.602
4.591,3.063
4.641,0.628
4.692,0.806
4.742,0.296
4.793,-0.427
4.843,1.790
4.894,4.061
4.944,7.136
4.995,9.297
5.045,12.741
5.096,14.812
5.146,17.348
5.197,19.611
5.247,20.889
5.298,19.092
5.348,18.198
5.399,15.736
5.449,13.761
5.500,9.817
