x,y
1.000,12.000
1.030,11.049
1.061,10.107
1.091,9.183
1.121,8.283
1.152,7.418
1.182,6.594
1.212,5.818
1.242,5.099
1.273,4.443
1.303,3.854
1.333,3.340
1.364,2.904
1.394,2.550
1.424,2.282
1.455,2.102
1.485,2.011
1.515,2.011
1.545,2.102
1.576,2.282
1.606,2.550
1.636,2.904
1.667,3.340
1.697,3.854
1.727,4.443
1.758,5.099
1.788,5.818
1.818,6.594
1.848,7.418
1.879,8.283
1.909,9.183
1.939,10.107
1.970,11.049
2.000,12.000
2.030,12.951
2.061,13.893
2.091,14.817
2.121,15.717
2.152,16.582
2.182,17.406
2.212,18.182
2.242,18.901
2.273,19.557
2.303,20.146
2.333,20.660
2.364,21.096
2.394,21.450
2.424,21.718
2.455,21.898
2.485,21.989
2.515,21.989
2.545,21.898
2.576,21.718
2.606,21.450
2.636,21.096
2.667,20.660
2.697,20.146
2.727,19.557
2.758,18.901
2.788,18.182
2.818,17.406
2.848,16.582
2.879,15.717
2.909,14.817
2.939,13.893
2.970,12.951
3.000,12.000
3.030,11.049
3.061,10.107
3.091,9.183
3.121,8.283
3.152,7.418
3.182,6.594
3.212,5.818
3.242,5.099
3.273,4.443
3.303,3.854
3.333,3.340
3.364,2.904
3.394,2.550
3.424,2.282
3.455,2.102
3.485,2.011
3.515,2.011
3.545,2.102
3.576,2.282
3.606,2.550
3.636,2.904
3.667,3.340
3.697,3.854
3.727,4.443
3.758,5.099
3.788,5.818
3.818,6.594
3.848,7.418
3.879,8.283
3.909,9.183
3.939,10.107
3.970,11.049
4.000,12.000
